ticker,start_equity,end_equity,num_years,total_plpc,avg_plpc,avg_vol
SMLR,100000.0,142916.6008,9.0,42.9166,4.7685,2441.9772
WAVE,100000.0,107295.7035,2.0,7.2957,3.6479,7067.0106
DOMH,100000.0,83165.0768,16.0,-16.8349,-1.0522,3832.5005
LFVN,100000.0,140134.6070,11.0,40.1346,3.6486,5165.7491
AEI,100000.0,94605.5839,3.0,-5.3944,-1.7981,5538.1842
TBPH,100000.0,140742.4823,9.0,40.7425,4.5269,23665.2760
WK,100000.0,107171.0358,9.0,7.1710,0.7968,14614.3983
THRM,100000.0,187969.4430,16.0,87.9694,5.4981,15775.4833
ECOR,100000.0,143276.5273,5.0,43.2765,8.6553,3757.3043
FHTX,100000.0,111584.3196,3.0,11.5843,3.8614,8067.6240
LOPE,100000.0,86565.6207,15.0,-13.4344,-0.8956,19978.5210
JOE,100000.0,244584.6450,16.0,144.5846,9.0365,33910.8236
EML,100000.0,88170.4000,16.0,-11.8296,-0.7393,1355.1113
BANC,100000.0,78229.7879,16.0,-21.7702,-1.3606,26784.6169
MCN,100000.0,115256.8989,16.0,15.2569,0.9536,5171.7249
ERII,100000.0,117449.1474,15.0,17.4491,1.1633,21801.9339
ADT,100000.0,125818.4802,6.0,25.8185,4.3031,163981.6670
BYON,100000.0,255083.5882,16.0,155.0836,9.6927,55203.2058
ES,100000.0,110220.7744,14.0,10.2208,0.7301,101702.5040
VOXX,100000.0,202654.7743,16.0,102.6548,6.4159,8511.7049
BTCS,100000.0,108048.2007,2.0,8.0482,4.0241,23037.2012
SHOP,100000.0,209495.0998,8.0,109.4951,13.6869,612469.9462
AIRI,100000.0,80147.5999,16.0,-19.8524,-1.2408,1139.3188
KRMD,100000.0,132518.2186,16.0,32.5182,2.0324,11580.3139
ORCL,100000.0,151486.6634,19.0,51.4867,2.7098,1051041.2398
MIST,100000.0,103321.6207,4.0,3.3216,0.8304,31970.1920
SSKN,100000.0,78430.3812,16.0,-21.5696,-1.3481,4073.7078
NEWP,100000.0,76697.9942,2.0,-23.3020,-11.6510,10049.5493
AAON,100000.0,160595.7123,16.0,60.5957,3.7872,18451.1191
AFG,100000.0,118269.8456,17.0,18.2698,1.0747,26791.1878
HRT,100000.0,124558.1283,2.0,24.5581,12.2791,20367.5719
AUB,100000.0,140594.2224,9.0,40.5942,4.5105,15041.8786
COCP,100000.0,118083.8262,5.0,18.0838,3.6168,9246.5035
IMNM,100000.0,105758.2446,3.0,5.7582,1.9194,10373.9236
TRUE,100000.0,169517.9502,9.0,69.5180,7.7242,59611.6316
NL,100000.0,118537.1407,16.0,18.5371,1.1586,2852.9358
MDGS,100000.0,93925.6951,8.0,-6.0743,-0.7593,3571.8435
WIRE,100000.0,176807.7866,16.0,76.8078,4.8005,8935.2526
HTBI,100000.0,90683.9469,11.0,-9.3161,-0.8469,3555.4156
FOSL,100000.0,115171.4344,19.0,15.1714,0.7985,63961.8062
XRTX,100000.0,102295.4668,2.0,2.2955,1.1477,818.2137
TSM,100000.0,67158.6042,16.0,-32.8414,-2.0526,526042.2583
LMDX,100000.0,92173.0295,2.0,-7.8270,-3.9135,162054.9658
GJT,100000.0,103101.5812,16.0,3.1016,0.1938,1002.5426
BGSF,100000.0,143057.8361,9.0,43.0578,4.7842,3496.7342
ODV,100000.0,101201.4303,1.0,1.2014,1.2014,4918.0807
TEVA,100000.0,143213.5179,11.0,43.2135,3.9285,408811.9461
HOUR,100000.0,95061.4839,2.0,-4.9385,-2.4693,44218.8818
CCL,100000.0,84030.5337,19.0,-15.9695,-0.8405,513111.6986
VLO,100000.0,254499.2863,19.0,154.4993,8.1315,392199.2993
GHG,100000.0,89858.2467,5.0,-10.1418,-2.0284,6354.9280
WTM,100000.0,127437.3321,16.0,27.4373,1.7148,1176.7655
AMX,100000.0,97796.2243,16.0,-2.2038,-0.1377,362408.9686
ATKR,100000.0,164771.0428,7.0,64.7710,9.2530,22709.0454
BHK,100000.0,94136.6604,16.0,-5.8633,-0.3665,8068.9279
SYBT,100000.0,80002.0397,16.0,-19.9980,-1.2499,3362.7499
ACHV,100000.0,168132.9644,15.0,68.1330,4.5422,2737.4581
SNAP,100000.0,93850.7698,6.0,-6.1492,-1.0249,901914.6313
PINE,100000.0,95040.9224,4.0,-4.9591,-1.2398,4342.8608
PDS,100000.0,236017.6206,13.0,136.0176,10.4629,5798.1265
PLAY,100000.0,162230.1125,9.0,62.2301,6.9145,72042.1317
SRE,100000.0,111595.3526,19.0,11.5954,0.6103,174763.6215
CALB,100000.0,124720.7788,6.0,24.7208,4.1201,1979.1751
VAL,100000.0,92594.8061,2.0,-7.4052,-3.7026,37548.7050
EVFM,100000.0,98664.9546,9.0,-1.3350,-0.1483,2038.1779
REAL,100000.0,122836.6155,4.0,22.8366,5.7092,129730.8411
WILC,100000.0,114818.6594,7.0,14.8187,2.1170,1169.6080
RBOT,100000.0,90509.0766,3.0,-9.4909,-3.1636,25213.4963
HYPR,100000.0,103650.7800,3.0,3.6508,1.2169,20587.6075
EFXT,100000.0,107506.9936,1.0,7.5070,7.5070,4058.7020
EIC,100000.0,86280.8378,4.0,-13.7192,-3.4298,2442.7321
PSNL,100000.0,97234.1849,4.0,-2.7658,-0.6915,27574.5049
VRNS,100000.0,87625.3571,9.0,-12.3746,-1.3750,49877.0423
SCS,100000.0,117116.3108,16.0,17.1163,1.0698,44376.4692
RY,100000.0,76293.6907,16.0,-23.7063,-1.4816,57561.8651
UTHR,100000.0,196265.2924,17.0,96.2653,5.6627,42642.7931
MGA,100000.0,216823.8432,17.0,116.8238,6.8720,113285.9990
IMRX,100000.0,105534.8335,2.0,5.5348,2.7674,5181.6502
HTH,100000.0,123113.9758,16.0,23.1140,1.4446,22405.9342
NBR,100000.0,212295.0108,16.0,112.2950,7.0184,9877.7818
TRIP,100000.0,78948.1454,12.0,-21.0519,-1.7543,123535.6211
IHRT,100000.0,106132.8247,4.0,6.1328,1.5332,47633.2679
MTD,100000.0,95994.6364,19.0,-4.0054,-0.2108,11922.1153
GVA,100000.0,80532.9810,16.0,-19.4670,-1.2167,26877.6413
CURO,100000.0,94332.3371,6.0,-5.6677,-0.9446,16841.9397
BLMN,100000.0,107834.7485,11.0,7.8347,0.7122,90773.9794
KKR,100000.0,108739.1566,13.0,8.7392,0.6722,160124.3188
INMB,100000.0,144904.0688,5.0,44.9041,8.9808,11583.7904
HP,100000.0,149985.6449,19.0,49.9856,2.6308,98072.9270
BLD,100000.0,144621.5027,8.0,44.6215,5.5777,17062.4361
TTEC,100000.0,141869.9420,16.0,41.8699,2.6169,13071.4965
SATS,100000.0,191864.1733,16.0,91.8642,5.7415,20686.7584
ODFL,100000.0,208324.4760,19.0,108.3245,5.7013,64113.3934
ASPS,100000.0,155259.3670,14.0,55.2594,3.9471,13429.8497
ZIONP,100000.0,99577.0793,4.0,-0.4229,-0.1057,860.1254
FRGT,100000.0,173365.4260,6.0,73.3654,12.2276,2053.2617
HUMA,100000.0,97951.3155,2.0,-2.0487,-1.0243,25188.6786
CATX,100000.0,104179.8387,16.0,4.1798,0.2612,53274.5962
CVU,100000.0,89009.1638,1.0,-10.9908,-10.9908,3545.3439
POL,100000.0,72176.3615,3.0,-27.8236,-9.2745,11630.0947
SMSI,100000.0,156076.1371,16.0,56.0761,3.5048,13528.0050
ITP,100000.0,78277.9609,14.0,-21.7220,-1.5516,6158.0762
CNET,100000.0,132671.5565,13.0,32.6716,2.5132,7637.1368
JQC,100000.0,104486.3205,16.0,4.4863,0.2804,33592.8398
WAT,100000.0,144312.5531,19.0,44.3126,2.3322,41460.5488
PTIX,100000.0,90869.4864,7.0,-9.1305,-1.3044,10762.7300
TDG,100000.0,138992.2642,17.0,38.9923,2.2937,23447.6589
